SKU_COD,MODEL_COD,BRAND_DES,MD_SKU_STATUS_COD,PRODUCT_TYPE_COD,COLOR,COLOR_FAMILY_1_DES,ZLENSCODE,filename_root,USERGENDER_DES,CTM_FIRST_FRONT_MATERIAL_DES,SHAPE_SEMI_GROUPED,GRANULAR_SHAPE_AWS,CTM_FIRST_TEMPLE_MATERIAL_DES,FlatTop_FlatTop_1,SIZE_COD,LENSHEIGHTVAL,BRIDGE_LENGTH,LENS_BASE,RIM_TYPE_DES
110477KB75415,110477,SEVENTH STREET,IL,1,KB7,GY,00,1104770KB700,WOMAN,ACETATE,SQUARETANGULAR,RECTANGULAR,ACETATE,NOFLATTOP,54,39.5,15,4,FULL RIM
110490C9A5216,110490,SEVENTH STREET,IL,1,C9A,RD,00,1104900C9A00,WOMAN,ACETATE,BUTTERFLY_ROUNDISH,RECTANGULAR SOFT BUTTERFLY GEOMETRICAL,ACETATE,NOFLATTOP,52,45.8,16,4,FULL RIM
110490KB75216,110490,SEVENTH STREET,IL,1,KB7,GY,00,1104900KB700,WOMAN,ACETATE,BUTTERFLY_ROUNDISH,RECTANGULAR SOFT BUTTERFLY GEOMETRICAL,ACETATE,NOFLATTOP,52,45.8,16,4,FULL RIM
110490MVU5216,110490,SEVENTH STREET,IL,1,MVU,AZ,00,1104900MVU00,WOMAN,ACETATE,BUTTERFLY_ROUNDISH,RECTANGULAR SOFT BUTTERFLY GEOMETRICAL,ACETATE,NOFLATTOP,52,45.8,16,4,FULL RIM
110491FIB5317,110491,SEVENTH STREET,IL,1,FIB,PK,00,1104910FIB00,WOMAN,METAL,BUTTERFLY_ROUNDISH,RECTANGULAR SOFT BUTTERFLY GEOMETRICAL,ACETATE,NOFLATTOP,53,45.8,17,4,FULL RIM
110491J5G5317,110491,SEVENTH STREET,IL,1,J5G,GD,00,1104910J5G00,WOMAN,METAL,BUTTERFLY_ROUNDISH,RECTANGULAR SOFT BUTTERFLY GEOMETRICAL,ACETATE,NOFLATTOP,53,45.8,17,4,FULL RIM
110491LKS5317,110491,SEVENTH STREET,IL,1,LKS,GD,00,1104910LKS00,WOMAN,METAL,BUTTERFLY_ROUNDISH,RECTANGULAR SOFT BUTTERFLY GEOMETRICAL,ACETATE,NOFLATTOP,53,45.8,17,4,FULL RIM
110491LOJ5317,110491,SEVENTH STREET,IL,1,LOJ,GD,00,1104910LOJ00,WOMAN,METAL,BUTTERFLY_ROUNDISH,RECTANGULAR SOFT BUTTERFLY GEOMETRICAL,ACETATE,NOFLATTOP,53,45.8,17,4,FULL RIM
110492DDB5218,110492,SEVENTH STREET,IL,1,DDB,GD,00,1104920DDB00,WOMAN,METAL,OVAL,OVAL,ACETATE,NOFLATTOP,52,42.0,18,4,FULL RIM
110492FIB5218,110492,SEVENTH STREET,IL,1,FIB,PK,00,1104920FIB00,WOMAN,METAL,OVAL,OVAL,ACETATE,NOFLATTOP,52,42.0,18,4,FULL RIM
110492LOJ5218,110492,SEVENTH STREET,IL,1,LOJ,GD,00,1104920LOJ00,WOMAN,METAL,OVAL,OVAL,ACETATE,NOFLATTOP,52,42.0,18,4,FULL RIM
110493J5G4921,110493,SEVENTH STREET,IL,1,J5G,GD,00,1104930J5G00,MAN,METAL,ROUNDISH,PANTOS,INJECTED,NOFLATTOP,49,46.3,21,4,FULL RIM
110493J5G5121,110493,SEVENTH STREET,IL,1,J5G,GD,00,1104930J5G00,MAN,METAL,ROUNDISH,PANTOS,INJECTED,NOFLATTOP,51,48.2,21,4,FULL RIM
110493KJ14921,110493,SEVENTH STREET,IL,1,KJ1,GY,00,1104930KJ100,MAN,METAL,ROUNDISH,PANTOS,INJECTED,NOFLATTOP,49,46.3,21,4,FULL RIM
110493KJ15121,110493,SEVENTH STREET,IL,1,KJ1,GY,00,1104930KJ100,MAN,METAL,ROUNDISH,PANTOS,INJECTED,NOFLATTOP,51,48.2,21,4,FULL RIM
110493R804921,110493,SEVENTH STREET,IL,1,R80,GY,00,1104930R8000,MAN,METAL,ROUNDISH,PANTOS,INJECTED,NOFLATTOP,49,46.3,21,4,FULL RIM
110493R805121,110493,SEVENTH STREET,IL,1,R80,GY,00,1104930R8000,MAN,METAL,ROUNDISH,PANTOS,INJECTED,NOFLATTOP,51,48.2,21,4,FULL RIM
110494B3V5117,110494,SEVENTH STREET,IL,1,B3V,VL,00,1104940B3V00,WOMAN,ACETATE,SQUARETANGULAR_CAT_EYE,RECTANGULAR TRAPEZIANGULAR,ACETATE,NOFLATTOP,51,42.7,17,4,FULL RIM
110494FWM5117,110494,SEVENTH STREET,IL,1,FWM,PK,00,1104940FWM00,WOMAN,ACETATE,SQUARETANGULAR_CAT_EYE,RECTANGULAR TRAPEZIANGULAR,ACETATE,NOFLATTOP,51,42.7,17,4,FULL RIM
110494IPR5117,110494,SEVENTH STREET,IL,1,IPR,HV,00,1104940IPR00,WOMAN,ACETATE,SQUARETANGULAR_CAT_EYE,RECTANGULAR TRAPEZIANGULAR,ACETATE,NOFLATTOP,51,42.7,17,4,FULL RIM
110495C9A5416,110495,SEVENTH STREET,IL,1,C9A,RD,00,1104950C9A00,MAN,INJECTED,SQUARETANGULAR,RECTANGULAR,METAL,NOFLATTOP,54,40.1,16,4,FULL RIM
110495KB75416,110495,SEVENTH STREET,IL,1,KB7,GY,00,1104950KB700,MAN,INJECTED,SQUARETANGULAR,RECTANGULAR,METAL,NOFLATTOP,54,40.1,16,4,FULL RIM
110498XW04920,110498,SEVENTH STREET,IL,1,XW0,BL,00,1104980XW000,MAN,INJECTED,ROUNDISH,PANTOS,METAL,NOFLATTOP,49,44.6,20,4,FULL RIM
110501PJP5716,110501,SEVENTH STREET,IL,1,PJP,BL,00,1105010PJP00,MAN,INJECTED,SQUARETANGULAR,RECTANGULAR,METAL,NOFLATTOP,56,41.0,17,4,FULL RIM
110502CBL5418,110502,SEVENTH STREET,IL,1,CBL,GY,00,1105020CBL00,MAN,ACETATE,SQUARETANGULAR_FLAT_TOP,RECTANGULAR FLAT TOP,ACETATE,NOFLATTOP,54,43.8,18,4,FULL RIM
110502PJP5418,110502,SEVENTH STREET,IL,1,PJP,BL,00,1105020PJP00,MAN,ACETATE,SQUARETANGULAR_FLAT_TOP,RECTANGULAR FLAT TOP,ACETATE,NOFLATTOP,54,43.8,18,4,FULL RIM
110503DDB5317,110503,SEVENTH STREET,IL,1,DDB,GD,00,1105030DDB00,WOMAN,METAL,SQUARETANGULAR_HEX,RECTANGULAR HEX,METAL,NOFLATTOP,53,43.7,17,4,FULL RIM
110503EYR5317,110503,SEVENTH STREET,IL,1,EYR,GD,00,1105030EYR00,WOMAN,METAL,SQUARETANGULAR_HEX,RECTANGULAR HEX,METAL,NOFLATTOP,53,43.7,17,4,FULL RIM
110503J5G5317,110503,SEVENTH STREET,IL,1,J5G,GD,00,1105030J5G00,WOMAN,METAL,SQUARETANGULAR_HEX,RECTANGULAR HEX,METAL,NOFLATTOP,53,43.7,17,4,FULL RIM
110503PEF5317,110503,SEVENTH STREET,IL,1,PEF,GD,00,1105030PEF00,WOMAN,METAL,SQUARETANGULAR_HEX,RECTANGULAR HEX,METAL,NOFLATTOP,53,43.7,17,4,FULL RIM
110504DDB5118,110504,SEVENTH STREET,IL,1,DDB,GD,00,1105040DDB00,WOMAN,METAL,SQUARETANGULAR_HEX,RECTANGULAR HEX,METAL,NOFLATTOP,51,46.3,18,4,FULL RIM
110504EYR5118,110504,SEVENTH STREET,IL,1,EYR,GD,00,1105040EYR00,WOMAN,METAL,SQUARETANGULAR_HEX,RECTANGULAR HEX,METAL,NOFLATTOP,51,46.3,18,4,FULL RIM
