MODEL_COD,filename_root,PRESENT
111722,1117220KB700,YES
111722,1117220PJP00,YES
111723,1117230KB700,YES
111723,1117230PJP00,YES
111724,11172407FF00,YES
111724,1117240FWM00,YES
111724,1117240LHF00,YES
111725,1117250KB700,YES
111725,1117250ZI900,YES
111726,11172601ED00,YES
111726,1117260KB700,YES
111726,1117260PJP00,YES
111727,11172701ED00,YES
111727,11172702W800,YES
111727,1117270PJP00,YES
111728,11172800OX00,YES
111728,11172802W800,YES
111728,1117280EX400,YES
111728,1117280PJP00,YES
111729,1117290KB700,YES
111729,1117290PJP00,YES
111730,11173000OX00,YES
111730,1117300KB700,YES
111730,1117300PJP00,YES
111731,11173102M200,YES
111731,1117310DDB00,YES
111732,111732038I00,YES
111732,1117320KAC00,YES
111732,1117320KB700,YES
111733,11173301ED00,YES
111733,1117330EX400,YES
111733,1117330KB700,YES
111734,11173401ED00,YES
111734,1117340AY000,YES
111735,111735035J00,YES
111735,1117350IPR00,YES
111735,1117350ZI900,YES
111738,11173801ED00,YES
111738,1117380PJP00,YES
111739,11173901ED00,YES
111739,1117390PJP00,YES
111740,1117400DDB00,YES
111740,1117400J5G00,YES
111741,11174101ED00,YES
111741,1117410F0T00,YES
111741,1117410HKZ00,YES
111741,1117410JBW00,YES
111742,1117420HKZ00,YES
111742,1117420NE600,YES
111742,1117420O6300,YES
111743,1117430DDB00,YES
111743,1117430J5G00,YES
111746,1117460QFU00,YES
111747,1117470AMC00,YES
111747,1117470R8000,YES
111747,1117470RHL00,YES
111748,1117480AOZ00,YES
111748,1117480R8100,YES
111749,1117490FLL00,YES
111749,1117490R8000,YES
111750,1117500CTL00,YES
111750,1117500R8000,YES
111751,11175100NZ00,YES
111751,1117510IGK00,YES
111752,11175201ED00,YES
111752,111752035J00,YES
111752,1117520FWM00,YES
111755,1117550C1900,YES
111755,1117550KB700,YES
111756,11175601ED00,YES
111756,1117560C1900,YES
111756,1117560FWM00,YES
111757,1117570C1900,YES
111757,1117570FWM00,YES
111758,111758080S00,YES
111758,1117580ZI900,YES
111759,11175906CR00,YES
111759,1117590FWM00,YES
